Barcode,Sample,Primer,Name
CAG384,BC-BM-2-US-10_0_1,_ITS1f,BC-BM-2-US-10_0_1_ITS1f
CAG385,BC-BM-2-US-10_0_2,_ITS1f,BC-BM-2-US-10_0_2_ITS1f
CAG386,BC-BM-2-US-10_0_3,_ITS1f,BC-BM-2-US-10_0_3_ITS1f
CAG387,BC-BM-2-US-10_0_4,_ITS1f,BC-BM-2-US-10_0_4_ITS1f
CBL884,BC-BM-2-US-10_0_5,_ITS1f,BC-BM-2-US-10_0_5_ITS1f
CBL885,BC-BM-3-US-10_-1_1,_ITS1f,BC-BM-3-US-10_-1_1_ITS1f
CBL886,BC-BM-3-US-10_-1_2,_ITS1f,BC-BM-3-US-10_-1_2_ITS1f
CBL887,BC-BM-3-US-10_-1_3,_ITS1f,BC-BM-3-US-10_-1_3_ITS1f
CBL888,BC-BM-3-US-10_-1_4,_ITS1f,BC-BM-3-US-10_-1_4_ITS1f
CBL889,BC-BM-3-US-10_-1_13,_ITS1f,BC-BM-3-US-10_-1_13_ITS1f
CBL890,BC-BM-3-US-10_-1_21,_ITS1f,BC-BM-3-US-10_-1_21_ITS1f
CBL891,BC-BM-1-US-10_0_1,_ITS1f,BC-BM-1-US-10_0_1_ITS1f
CBL892,BC-BM-1-US-10_0_2,_ITS1f,BC-BM-1-US-10_0_2_ITS1f
CBL893,BC-BM-1-US-10_0_4,_ITS1f,BC-BM-1-US-10_0_4_ITS1f
CBL894,BC-BM-1-US-10_0_5,_ITS1f,BC-BM-1-US-10_0_5_ITS1f
CBL895,BC-BM-1-US-10_0_8,_ITS1f,BC-BM-1-US-10_0_8_ITS1f
CBL896,BC-BM-1-US-10_0_10,_ITS1f,BC-BM-1-US-10_0_10_ITS1f
CBL897,BC-BM-1-US-10_0_11,_ITS1f,BC-BM-1-US-10_0_11_ITS1f
CBL898,BC-BM-1-US-10_0_12,_ITS1f,BC-BM-1-US-10_0_12_ITS1f
CBL899,BC-BM-1-US-10_0_13,_ITS1f,BC-BM-1-US-10_0_13_ITS1f
CBL900,BC-BM-1-US-10_0_14,_ITS1f,BC-BM-1-US-10_0_14_ITS1f
